name,code,description,active
Electronics,001,Electronic devices and gadgets,true
Clothing,002,Apparel and fashion items,true
Home & Garden,003,Home improvement and garden products,true
Sports & Outdoors,004,Sports equipment and outdoor gear,true
Books & Media,005,Books, movies, and digital media,true
Automotive,006,Vehicle parts and accessories,true
Health & Beauty,007,Health and beauty products,true
Toys & Games,008,Toys, games, and entertainment,true
Food & Beverages,009,Food and drink products,true
Jewelry & Watches,010,Fine jewelry and timepieces,true 
